grain,Primary shape,Secondary feature,Fractures
g_539,jagged-vesicular,none,maybe some
g_540,blocky,elongated-tubular,some
g_541,jagged-vesicular,none,some
g_542,elongated-tubular,none,none observed
g_543,elongated-tubular,none,some
g_544,blocky,none,clearly many
g_545,blocky,none,clearly many
g_546,elongated-tubular,none,some
g_547,blocky,none,clearly many
g_548,blocky,none,clearly many
g_549,elongated-tubular,fluidal,some
g_550,elongated-tubular,none,maybe some
g_551,blocky,jagged-vesicular,some
g_552,blocky,none,clearly many
g_553,jagged-vesicular,none,some
g_554,blocky,elongated-tubular,some
g_555,elongated-tubular,none,maybe some
g_556,jagged-vesicular,blocky,maybe some
g_557,jagged-vesicular,none,none observed
g_558,blocky,none,some
g_559,jagged-vesicular,none,none observed
g_560,blocky,jagged-vesicular,some
g_561,blocky,none,maybe some
g_562,blocky,none,maybe some
g_563,blocky,none,maybe some
g_564,jagged-vesicular,fluidal,maybe some
g_565,blocky,none,some
g_566,blocky,none,some
g_567,jagged-vesicular,none,some
g_568,elongated-tubular,none,none
g_569,jagged-vesicular,none,clearly many
g_570,jagged-vesicular,fluidal,none observed
g_571,elongated-tubular,none,maybe some
g_572,elongated-tubular,none,none observed
g_573,blocky,none,some
g_574,blocky,none,some
g_575,fluidal,none,none
g_576,blocky,none,some
g_577,jagged-vesicular,none,some
g_578,jagged-vesicular,none,clearly many
g_579,blocky,none,maybe some
g_580,elongated-tubular,fluidal,some
g_581,blocky,elongated-tubular,clearly many
g_582,elongated-tubular,none,some
g_583,fluidal,none,maybe some
g_584,jagged-vesicular,none,clearly many
g_585,blocky,fluidal,none
g_586,elongated-tubular,none,some
g_587,fluidal,none,none observed
g_588,blocky,none,some
g_589,elongated-tubular,fluidal,some
g_590,blocky,none,clearly many
g_591,jagged-vesicular,none,some
g_592,blocky,none,maybe some
g_593,blocky,none,some
g_594,elongated-tubular,none,some
g_595,blocky,none,some
g_596,elongated-tubular,none,none observed
g_597,blocky,none,some
g_598,jagged-vesicular,none,maybe some
g_599,blocky,fluidal,some
g_600,jagged-vesicular,none,none observed
g_601,jagged-vesicular,elongated-tubular,none observed
g_602,elongated-tubular,blocky,maybe some
g_603,blocky,none,maybe some
g_604,jagged-vesicular,none,some
g_605,jagged-vesicular,none,maybe some
g_606,jagged-vesicular,none,some
g_607,elongated-tubular,none,maybe some
g_608,blocky,none,some
g_609,blocky,jagged-vesicular,clearly many
g_610,elongated-tubular,fluidal,none observed
g_611,blocky,none,some
g_612,elongated-tubular,none,none observed
g_613,elongated-tubular,fluidal,maybe some
g_614,blocky,jagged-vesicular,maybe some
g_615,blocky,fluidal,maybe some
g_616,jagged-vesicular,fluidal,maybe some
g_617,blocky,none,some
g_618,elongated-tubular,none,some
g_619,blocky,jagged-vesicular,maybe some
g_620,blocky,jagged-vesicular,some
g_621,jagged-vesicular,none,some
g_622,elongated-tubular,none,some
g_623,blocky,none,maybe some
g_624,blocky,none,maybe some
g_625,fluidal,none,maybe some
g_626,fluidal,none,maybe some
g_627,elongated-tubular,fluidal,none observed
g_628,elongated-tubular,none,some
