filename,type,p,A,w,b,c,a,m,L_b,W_b,d_H,p_CP,A_CP,e_CE,L_maj,L_min,d_BC,l_F,w_F,d_F,,Circ_DL,Rec_DL,Com_DL,Elo_DL,,Circ_CI,AR_CI,Con_CI,Sol_CI,,Circ_LL,Elo_LL,AR_LL,d_H,Con_LL,Sol_LL,,form factor,axial ratio,convexity,solidity,,circularity,rectangularity,form factor,Feret aspect ratio,Feret aspect ratio,regularity parameter
Electron Image 254-07.tif,Fl,854.6316,21101,161.9004,245.4883,514.9398,226,88.1179,272,157,163.9104,745.2763,26604,833.2134,253.1182,127.1645,284.561,161.9004,245.4883,285,,1.6597,1.0489,0.53091,2.5647,,0.36304,1.9905,0.97494,0.79315,,0.60253,0.42279,0.57721,163.9104,0.87204,0.79315,,0.36304,0.50239,0.87204,0.79315,,0.33179,0.53091,0.36304,0.6595,1.5163,0.06395
Electron Image 257-6.tif,Fl,1022.7737,30678,168.7173,265.7767,620.8954,260,117.2697,266,169,197.6371,750.7666,35545,769.621,263.2583,162.7272,266.6802,168.7173,265.7767,267,,1.6473,1.177,0.68415,2.2171,,0.36853,1.6178,0.75248,0.86307,,0.60707,0.36466,0.63534,197.6371,0.73405,0.86307,,0.36853,0.61813,0.73405,0.86307,,0.54923,0.68415,0.36853,0.63481,1.5753,0.13848
Electron Image 266-4.tif,Fl,926.0458,28324,141.763,252.7874,596.5986,248,118.189,252,143,189.9032,761.4773,32930,780.8822,257.2286,150.672,265.603,141.763,252.7874,265,,1.5522,1.1735,0.79038,2.0983,,0.41505,1.7072,0.84324,0.86013,,0.64424,0.43254,0.56746,189.9032,0.82229,0.86013,,0.41505,0.58575,0.82229,0.86013,,0.51121,0.79038,0.41505,0.5608,1.7832,0.1677
Electron Image 27-1.tif,Fl,848.4062,17622,128.0388,252.1505,470.579,163,71.7273,258,135,149.7899,670.6661,23107,700.2827,252.4599,115.3674,258.4782,128.0388,252.1505,259,,1.8029,1.1158,0.54583,2.2725,,0.30765,2.1883,0.82541,0.76263,,0.55466,0.47674,0.52326,149.7899,0.7905,0.76263,,0.30765,0.45697,0.7905,0.76263,,0.33583,0.54583,0.30765,0.50779,1.9693,0.056393
Electron Image 27-12.tif,Fl,767.7199,19290,110.2183,287.1303,492.3467,241,66.9861,301,111,156.7188,724.6905,22923,777.2494,289.0073,95.916,304.5275,110.2183,287.1303,305,,1.5593,0.96605,0.60954,3.5978,,0.41128,3.0131,1.0124,0.84151,,0.64131,0.63123,0.36877,156.7188,0.94395,0.84151,,0.41128,0.33188,0.94395,0.84151,,0.26484,0.60954,0.41128,0.38386,2.6051,0.066393
Electron Image 274-3.tif,Fl,1105.3006,31338,192.2781,356.1018,627.5388,334,88.6685,356,203,199.7518,938.8499,46292,1049.2747,347.4456,170.5981,357.0763,192.2781,356.1018,358,,1.7613,1.0078,0.45769,3.7668,,0.32234,2.0366,0.94931,0.67696,,0.56775,0.42978,0.57022,199.7518,0.84941,0.67696,,0.32234,0.49101,0.84941,0.67696,,0.31294,0.45769,0.32234,0.53995,1.852,0.046169
Electron Image 282-11.tif,Fl,786.1148,17137,76.6378,314.961,464.0581,314,54.5492,314,79,147.7143,721.061,19271,766.8168,315.8991,75.0224,314.9937,76.6378,314.961,316,,1.694,1.0037,0.70996,5.7563,,0.34848,4.2107,0.97545,0.88926,,0.59032,0.74841,0.25159,147.7143,0.91725,0.88926,,0.34848,0.23749,0.91725,0.88926,,0.21991,0.70996,0.34848,0.24332,4.1097,0.054406
Electron Image 283-5.tif,Fl,855.7615,22755,134.3359,311.3636,534.7408,312,73.4712,309,139,170.2133,765.5778,28834,842.9104,308.2061,117.6398,311.3872,134.3359,311.3636,312,,1.6003,0.96002,0.54402,4.2466,,0.39046,2.6199,0.98498,0.78917,,0.62487,0.55016,0.44984,170.2133,0.89462,0.78917,,0.39046,0.38169,0.89462,0.78917,,0.2988,0.54402,0.39046,0.43144,2.3178,0.063472
Electron Image 29-11.tif,Fl,738.1808,18841,104.648,280.4029,486.583,281,67.0783,280,105,154.8842,682.1981,21404,687.4355,279.0034,91.7378,280.5369,104.648,280.4029,281,,1.5171,0.95855,0.64208,4.1891,,0.4345,3.0413,0.93126,0.88026,,0.65917,0.625,0.375,154.8842,0.92416,0.88026,,0.4345,0.32881,0.92416,0.88026,,0.30481,0.64208,0.4345,0.37321,2.6795,0.085038
Electron Image 29-12.tif,Fl,841.5361,28944,154.962,280.3193,603.0929,264,103.8078,281,163,191.9704,726.8671,32213,740.8456,264.6364,143.3219,282.252,154.962,280.3193,282,,1.3954,0.96666,0.66632,2.5432,,0.5136,1.8464,0.88035,0.89852,,0.71666,0.41993,0.58007,191.9704,0.86374,0.89852,,0.5136,0.54158,0.86374,0.89852,,0.46259,0.66632,0.5136,0.55281,1.809,0.15831
Electron Image 293-04.tif,Fl,876.992,24017,113.1857,302.519,549.3692,294,79.7558,302,113,174.8696,739.3107,28030,752.8024,309.8231,104.1996,303.2095,113.1857,302.519,304,,1.5964,1.0548,0.70141,3.6863,,0.39241,2.9734,0.85839,0.85683,,0.62642,0.62583,0.37417,174.8696,0.84301,0.85683,,0.39241,0.33632,0.84301,0.85683,,0.33262,0.70141,0.39241,0.37414,2.6728,0.091549
Electron Image 294-5.tif,Fl,616.0975,16140,131.0248,181.435,450.3568,174,88.8791,194,133,143.353,547.5534,18770,587.8115,186.1199,118.8626,198.947,131.0248,181.435,200,,1.368,0.98588,0.67894,1.9577,,0.53434,1.5658,0.95409,0.85988,,0.73098,0.31443,0.68557,143.353,0.88874,0.85988,,0.53434,0.63863,0.88874,0.85988,,0.5192,0.67894,0.53434,0.72216,1.3847,0.18836
Electron Image 296-5.tif,Fl,555.1859,10120,112.3666,158.2057,356.6114,147,63.9874,160,122,113.5129,457.8894,13931,468.2751,166.2673,96.6719,160.5802,112.3666,158.2057,162,,1.5568,1.0259,0.56927,2.2973,,0.41259,1.7199,0.84346,0.72644,,0.64233,0.2375,0.7625,113.5129,0.82475,0.72644,,0.41259,0.58142,0.82475,0.72644,,0.4997,0.56927,0.41259,0.71026,1.4079,0.11737
Electron Image 299-05.tif,Fl,811.0925,13867,184.0446,195.1125,417.442,175,72.8622,205,189,132.8759,655.3107,21874,734.3888,176.5748,157.1003,236.2366,184.0446,195.1125,224,,1.943,1.0696,0.38617,2.4018,,0.26488,1.124,0.90543,0.63395,,0.51467,0.078049,0.92195,132.8759,0.80794,0.63395,,0.26488,0.88971,0.80794,0.63395,,0.31637,0.38617,0.26488,0.94327,1.0601,0.032361
Electron Image 30-24.tif,Fl,843.0925,35035,190.8169,253.2206,663.523,245,140.9016,272,194,211.2059,756.8082,37452,761.5199,252.4359,180.8821,272.847,190.8169,253.2206,273,,1.2706,0.94935,0.72508,1.7388,,0.61939,1.3956,0.90325,0.93546,,0.78701,0.28676,0.71324,211.2059,0.89766,0.93546,,0.61939,0.71655,0.89766,0.93546,,0.5992,0.72508,0.61939,0.75356,1.327,0.2691
Electron Image 31-1.tif,Fl,957.3423,28531,151.7922,281.0744,598.7747,281,102.4007,291,152,190.5959,805.661,32683,887.3055,312.6457,131.4968,302.406,151.7922,281.0744,301,,1.5988,1.1058,0.66872,2.7441,,0.39119,2.3776,0.92684,0.87296,,0.62546,0.47766,0.52234,190.5959,0.84156,0.87296,,0.39119,0.42059,0.84156,0.87296,,0.39723,0.66872,0.39119,0.54004,1.8517,0.10392
Electron Image 310-6.tif,Fl,626.3402,16448,103.1258,230.0036,454.6335,228,71.3117,230,105,144.7144,575.4701,18207,605.4735,225.1376,97.6659,230.1521,103.1258,230.0036,231,,1.3777,0.94009,0.69344,3.1972,,0.52687,2.3052,0.96668,0.90339,,0.72586,0.54348,0.45652,144.7144,0.91878,0.90339,,0.52687,0.43381,0.91878,0.90339,,0.39536,0.69344,0.52687,0.44837,2.2303,0.14445
Electron Image 32-4.tif,Fl,807.9798,23680,171.516,249.6814,545.5013,207,94.498,271,175,173.6385,727.394,29377,762.7258,244.8344,137.474,272.0808,171.516,249.6814,273,,1.4812,0.95915,0.55296,2.1905,,0.45582,1.781,0.94399,0.80607,,0.67514,0.35424,0.64576,173.6385,0.90026,0.80607,,0.45582,0.5615,0.90026,0.80607,,0.40728,0.55296,0.45582,0.68694,1.4557,0.10265
Electron Image 32-8.tif,Fl,701.1686,16222,94.0686,285.845,451.4994,273,56.6307,287,101,143.7167,674.8255,19258,687.5913,292.3014,79.6979,287.336,94.0686,285.845,288,,1.553,0.9228,0.60329,4.8207,,0.41464,3.6676,0.98064,0.84235,,0.64392,0.64808,0.35192,143.7167,0.96243,0.84235,,0.41464,0.27266,0.96243,0.84235,,0.25017,0.60329,0.41464,0.32909,3.0387,0.06258
Electron Image 33-10.tif,Fl,901.4844,37848,170.5303,287.4122,689.6463,279,131.809,285,177,219.5212,828.455,40610,873.9632,292.6916,171.3023,294.7711,170.5303,287.4122,296,,1.3072,0.98428,0.77221,2.1167,,0.58524,1.7086,0.96947,0.93199,,0.76501,0.37895,0.62105,219.5212,0.91899,0.93199,,0.58524,0.58527,0.91899,0.93199,,0.5546,0.77221,0.58524,0.59333,1.6854,0.25064
Electron Image 33-16.tif,Fl,1129.4428,45012,194.6911,382.5886,752.0887,347,118.0966,386,201,239.3973,975.6854,52827,993.5506,360.8721,176.9077,388.8046,194.6911,382.5886,390,,1.5017,0.97825,0.6043,2.9383,,0.44341,2.0399,0.87968,0.85206,,0.66589,0.47927,0.52073,239.3973,0.86386,0.85206,,0.44341,0.49022,0.86386,0.85206,,0.37912,0.6043,0.44341,0.50888,1.9651,0.10159
Electron Image 34-06.tif,Fl,1086.6732,31224,226.1515,255.7307,626.3963,235,124.5664,264,232,199.3881,813.4356,40334,907.1813,251.7269,189.6107,289.1599,226.1515,255.7307,276,,1.7348,1.1275,0.53989,1.8865,,0.33228,1.3276,0.83482,0.77414,,0.57643,0.12121,0.87879,199.3881,0.74856,0.77414,,0.33228,0.75324,0.74856,0.77414,,0.47547,0.53989,0.33228,0.88433,1.1308,0.085296
Electron Image 37-1.tif,Fl,909.862,33005,200.3517,238.8121,644.0132,206,139.8125,278,194,204.9958,755.3351,36650,759.1239,260.2842,170.7066,278.9875,200.3517,238.8121,280,,1.4128,1.0359,0.68981,1.4734,,0.501,1.5247,0.83433,0.90055,,0.70781,0.30216,0.69784,204.9958,0.83016,0.90055,,0.501,0.65585,0.83016,0.90055,,0.53991,0.68981,0.501,0.83895,1.192,0.18659
Electron Image 38-10.tif,Fl,618.7838,15769,132.4549,196.0363,445.1506,183,80.2335,193,140,141.6959,558.9016,18553,612.4142,187.6029,127.1758,201.762,132.4549,196.0363,199,,1.3901,0.94186,0.6073,2.2808,,0.51753,1.4751,0.98971,0.84994,,0.7194,0.27461,0.72539,141.6959,0.90323,0.84994,,0.51753,0.6779,0.90323,0.84994,,0.49321,0.6073,0.51753,0.67567,1.48,0.15501
Electron Image 39-1.tif,Fl,733.9382,24391,180.2517,195.5513,553.6302,189,130.4898,205,179,176.226,631.7128,27062,652.0531,187.4722,173.7184,212.73,180.2517,195.5513,207,,1.3257,0.97649,0.69197,1.4484,,0.56901,1.0792,0.88843,0.9013,,0.75433,0.12683,0.87317,176.226,0.86072,0.9013,,0.56901,0.92664,0.86072,0.9013,,0.68625,0.69197,0.56901,0.92176,1.0849,0.2702
Electron Image 42-11.tif,Fl,859.6783,38235,220.4796,230.9735,693.1632,212,170.5431,275,212,220.6407,794.0214,41459,784.5159,254.0704,196.064,275.6339,220.4796,230.9735,276,,1.2402,0.95212,0.75081,1.2431,,0.65013,1.2959,0.91257,0.92224,,0.80631,0.22909,0.77091,220.6407,0.92363,0.92224,,0.65013,0.77169,0.92363,0.92224,,0.64078,0.75081,0.65013,0.95457,1.0476,0.31278
Electron Image 42-21.tif,Fl,728.8499,16459,149.6565,173.9109,454.7855,163,97.08,173,153,144.7627,588.5412,21967,611.952,178.0303,135.6535,193.2492,149.6565,173.9109,192,,1.6026,1.1263,0.63238,1.679,,0.38935,1.3124,0.83961,0.74926,,0.62398,0.11561,0.88439,144.7627,0.80749,0.74926,,0.38935,0.76197,0.80749,0.74926,,0.56115,0.63238,0.38935,0.86054,1.1621,0.13816
Electron Image 46-10.tif,Fl,613.6123,13826,121.5914,191.3404,416.8245,178,72.1458,189,126,132.6794,527.4457,16503,570.6735,179.574,112.7868,192.3575,121.5914,191.3404,193,,1.4721,0.98042,0.59427,2.4672,,0.46144,1.5922,0.93002,0.83779,,0.6793,0.33333,0.66667,132.6794,0.85957,0.83779,,0.46144,0.62808,0.85957,0.83779,,0.47576,0.59427,0.46144,0.63547,1.5736,0.13046
Electron Image 49-01.tif,Fl,677.127,21292,149.0748,207.8279,517.2651,206,102.2105,209,151,164.6506,605.2864,23828,650.5807,198.7386,142.6812,213.479,149.0748,207.8279,210,,1.3091,0.94862,0.68724,2.0154,,0.58356,1.3929,0.9608,0.89357,,0.76391,0.27751,0.72249,164.6506,0.8939,0.89357,,0.58356,0.71793,0.8939,0.89357,,0.59486,0.68724,0.58356,0.7173,1.3941,0.23857
Electron Image 50-06.tif,Fl,960.8326,36693,175.036,319.8462,679.0419,307,116.4953,322,177,216.1457,832.8915,40024,875.171,287.4422,172.2175,322.5911,175.036,319.8462,324,,1.415,0.97077,0.65541,2.6353,,0.49946,1.6691,0.91085,0.91677,,0.70672,0.45031,0.54969,216.1457,0.86684,0.91677,,0.49946,0.59914,0.86684,0.91677,,0.44894,0.65541,0.49946,0.54725,1.8273,0.14696
Electron Image 50-2.tif,Fl,1264.8814,31939,195.7733,370.4125,633.5277,238,88.2534,366,204,201.6581,990.3229,50912,1079.9952,418.1018,156.7225,371.0065,195.7733,370.4125,372,,1.9966,1.117,0.44044,2.6968,,0.25086,2.6678,0.85383,0.62734,,0.50086,0.44262,0.55738,201.6581,0.78294,0.62734,,0.25086,0.37484,0.78294,0.62734,,0.29544,0.44044,0.25086,0.52853,1.892,0.032642
Electron Image 51-03.tif,Fl,1342.9403,44056,178.7539,462.6469,744.0592,404,95.6293,464,183,236.8414,1120.8082,61292,1175.2255,464.2893,164.1555,464.0366,178.7539,462.6469,465,,1.8049,1.0469,0.53272,4.2246,,0.30697,2.8284,0.87511,0.71879,,0.55405,0.6056,0.3944,236.8414,0.83459,0.71879,,0.30697,0.35356,0.83459,0.71879,,0.2605,0.53272,0.30697,0.38637,2.5882,0.0426
Electron Image 51-12.tif,Fl,718.6245,21776,165.2756,199.3731,523.1112,184,111.8209,243,162,166.5115,650.8843,25091,676.7337,214.1372,144.6021,243.1831,165.2756,199.3731,244,,1.3738,0.98537,0.66085,1.6455,,0.52989,1.4809,0.94171,0.86788,,0.72793,0.33333,0.66667,166.5115,0.90574,0.86788,,0.52989,0.67528,0.90574,0.86788,,0.46884,0.66085,0.52989,0.82898,1.2063,0.16418
Electron Image 51-13.tif,Fl,987.46,34796,210.7512,261.7514,661.256,246,137.0076,288,205,210.4843,828.8671,41198,848.6457,261.6108,189.0656,296.6648,210.7512,261.7514,297,,1.4933,1.0449,0.63077,1.7955,,0.44844,1.3837,0.85942,0.8446,,0.66965,0.28819,0.71181,210.4843,0.83939,0.8446,,0.44844,0.7227,0.83939,0.8446,,0.50339,0.63077,0.44844,0.80516,1.242,0.14239
Electron Image 51-16.tif,Fl,1090.3301,36118,178.3525,310.8519,673.7004,278,117.9293,316,191,214.4455,861.3524,44535,853.5743,315.3699,153.7711,321.6458,178.3525,310.8519,322,,1.6184,1.1144,0.65146,2.3573,,0.38178,2.0509,0.78286,0.811,,0.61789,0.39557,0.60443,214.4455,0.78999,0.811,,0.38178,0.48759,0.78999,0.811,,0.44451,0.65146,0.38178,0.57375,1.7429,0.11056
Electron Image 51-17.tif,Fl,1003.3595,38635,207.1204,290.0152,696.7795,269,134.5739,298,205,221.7918,827.7788,44017,866.9541,255.2764,203.6644,298.811,207.1204,290.0152,300,,1.44,1.0091,0.64319,1.9989,,0.48226,1.2534,0.86405,0.87773,,0.69445,0.31208,0.68792,221.7918,0.82501,0.87773,,0.48226,0.79782,0.82501,0.87773,,0.55093,0.64319,0.48226,0.71417,1.4002,0.17089
Electron Image 54-12.tif,Fl,697.6711,13339,87.5202,255.7704,409.4177,238,52.0039,258,101,130.3217,615.5462,18192,654.7764,257.0857,77.4202,259.4802,87.5202,255.7704,260,,1.7041,1.0162,0.59589,4.5766,,0.34438,3.3207,0.93852,0.73323,,0.58683,0.60853,0.39147,130.3217,0.88229,0.73323,,0.34438,0.30115,0.88229,0.73323,,0.25225,0.59589,0.34438,0.34218,2.9224,0.051763
Electron Image 54-12a.tif,Fl,810.7494,22463,166.6189,208.7484,531.2988,203,111.1333,208,175,169.1177,668.9848,27125,714.2903,199.0378,162.8838,226.1639,166.6189,208.7484,225,,1.526,1.0799,0.64583,1.8266,,0.42944,1.222,0.88102,0.82813,,0.65532,0.15865,0.84135,169.1177,0.82514,0.82813,,0.42944,0.81836,0.82514,0.82813,,0.55915,0.64583,0.42944,0.79818,1.2528,0.15508
Electron Image 54-13.tif,Fl,737.1585,13553,62.5753,308.3265,412.6888,309,43.8188,309,67,131.3629,698.3128,16811,789.8748,343.3189,55.9848,309.3387,62.5753,308.3265,310,,1.7862,0.99374,0.70246,7.0518,,0.31342,6.1324,1.0715,0.8062,,0.55984,0.78317,0.21683,131.3629,0.9473,0.8062,,0.31342,0.16307,0.9473,0.8062,,0.18033,0.70246,0.31342,0.20295,4.9273,0.039703
Electron Image 55-02.tif,Fl,639.5706,9951,79.8716,241.5134,353.6212,200,41.1488,240,85,112.5611,582.8772,14106,617.3516,252.5985,70.3313,241.7457,79.8716,241.5134,243,,1.8086,0.99502,0.51586,4.8604,,0.3057,3.5916,0.96526,0.70544,,0.5529,0.64583,0.35417,112.5611,0.91136,0.70544,,0.3057,0.27843,0.91136,0.70544,,0.2168,0.51586,0.3057,0.33071,3.0238,0.034189
Electron Image 55-05.tif,Fl,930.5483,33180,165.6013,285.9367,645.7183,283,116.1603,292,169,205.5385,794.0387,37671,815.0926,291.9667,153.3707,293.8197,165.6013,285.9367,294,,1.4411,1.0304,0.70072,2.4363,,0.48151,1.9037,0.87593,0.88078,,0.69391,0.42123,0.57877,205.5385,0.8533,0.88078,,0.48151,0.5253,0.8533,0.88078,,0.48936,0.70072,0.48151,0.57915,1.7267,0.16511
Electron Image 58-04.tif,Fl,975.0996,31361,143.5869,296.8682,627.769,295,105.6846,297,146,199.8251,788.8154,35091,861.523,312.3039,134.1819,301.0415,143.5869,296.8682,302,,1.5533,1.1069,0.73572,2.7913,,0.41448,2.3275,0.88352,0.8937,,0.6438,0.50842,0.49158,199.8251,0.80896,0.8937,,0.41448,0.42965,0.80896,0.8937,,0.4406,0.73572,0.41448,0.48367,2.0675,0.13436
Electron Image 58-24.tif,Fl,866.0631,24611,161.8684,233.0707,556.1213,217,108.588,238,163,177.0189,666.6245,29336,678.1074,211.9596,155.2764,240.8319,161.8684,233.0707,242,,1.5573,1.0965,0.65235,1.9984,,0.41233,1.365,0.78298,0.83894,,0.64213,0.31513,0.68487,177.0189,0.76972,0.83894,,0.41233,0.73258,0.76972,0.83894,,0.54027,0.65235,0.41233,0.6945,1.4399,0.14532
Electron Image 59-11.tif,Fl,657.2275,17543,114.4876,223.1608,469.523,219,78.8973,223,119,149.4538,594.3574,21027,586.0566,224.0144,108.9135,223.3294,114.4876,223.1608,224,,1.3998,0.97324,0.68664,2.7758,,0.51037,2.0568,0.89171,0.83431,,0.7144,0.46637,0.53363,149.4538,0.90434,0.83431,,0.51037,0.48619,0.90434,0.83431,,0.44784,0.68664,0.51037,0.51303,1.9492,0.15694
Electron Image 59-15.tif,Fl,1009.9869,36357,161.9894,361.4372,675.9257,318,100.5718,368,169,215.1538,930.4234,43363,1000.1949,374.6773,136.6332,371.2964,161.9894,361.4372,372,,1.4942,0.96478,0.62097,3.1619,,0.44788,2.7422,0.9903,0.83843,,0.66924,0.54076,0.45924,215.1538,0.92122,0.83843,,0.44788,0.36467,0.92122,0.83843,,0.33578,0.62097,0.44788,0.44818,2.2312,0.093388
Electron Image 59-20.tif,Fl,916.0874,25151,119.7373,347.319,562.1893,311,72.319,354,122,178.9504,838.6316,30334,918.7053,358.6778,101.54,355.3379,119.7373,347.319,356,,1.6295,0.9807,0.60478,4.3004,,0.37661,3.5324,1.0029,0.82914,,0.61369,0.65537,0.34463,178.9504,0.91545,0.82914,,0.37661,0.2831,0.91545,0.82914,,0.25362,0.60478,0.37661,0.34475,2.9007,0.057766
Electron Image 6-19.tif,Fl,1017.2174,41142,221.1246,257.9378,719.031,259,161.5444,275,247,228.8747,843.3768,47190,857.3598,255.5681,215.7337,292.0154,221.1246,257.9378,293,,1.4147,1.0617,0.72133,1.6033,,0.49965,1.1846,0.84285,0.87184,,0.70686,0.10182,0.89818,228.8747,0.8291,0.87184,,0.49965,0.84413,0.8291,0.87184,,0.6143,0.72133,0.49965,0.85728,1.1665,0.2214
Electron Image 63-09.tif,Fl,1025.3006,24739,115.2634,380.1103,557.5656,324,65.1627,386,126,177.4787,907.0753,33063,946.6554,377.9818,92.8206,388.5421,115.2634,380.1103,389,,1.8389,1.0349,0.56465,4.9722,,0.29573,4.0722,0.9233,0.74824,,0.54381,0.67358,0.32642,177.4787,0.88469,0.74824,,0.29573,0.24557,0.88469,0.74824,,0.20865,0.56465,0.29573,0.30324,3.2978,0.034841
Electron Image 66-03.tif,Fl,715.4945,23256,133.5144,249.8597,540.5955,241,93.7251,260,136,172.0769,658.5656,25190,676.4626,250.6664,120.7717,262.1316,133.5144,249.8597,263,,1.3235,0.93315,0.69713,2.5713,,0.57086,2.0755,0.94545,0.92322,,0.75556,0.47692,0.52308,172.0769,0.92043,0.92322,,0.57086,0.4818,0.92043,0.92322,,0.43093,0.69713,0.57086,0.53436,1.8714,0.17149
Electron Image 66-05.tif,Fl,1241.4672,46321,170.3851,443.6172,762.9462,435,104.4685,444,173,242.8533,1067.1829,56339,1058.5467,442.7645,143.5086,444.5447,170.3851,443.6172,445,,1.6272,1.011,0.61283,4.1639,,0.37767,3.0853,0.85266,0.82218,,0.61455,0.61036,0.38964,242.8533,0.85961,0.82218,,0.37767,0.32412,0.85961,0.82218,,0.29844,0.61283,0.37767,0.38408,2.6036,0.069074
Electron Image 67-04.tif,Fl,465.0437,7526,70.0197,171.7457,307.5297,170,43.9593,172,70,97.8897,409.6884,8737,413.6079,161.4976,61.8444,171.8168,70.0197,171.7457,173,,1.5122,0.96177,0.62583,3.8672,,0.43731,2.6114,0.8894,0.86139,,0.66129,0.59302,0.40698,97.8897,0.88097,0.86139,,0.43731,0.38294,0.88097,0.86139,,0.3246,0.62583,0.43731,0.40769,2.4528,0.088836
Electron Image 7-14.tif,Fl,1036.2956,33953,110.1908,414.2505,653.1967,405,81.9012,415,112,207.919,978.6804,38378,1072.8196,421.209,107.1719,415.9313,110.1908,414.2505,417,,1.5865,0.988,0.74382,4.945,,0.3973,3.9302,1.0352,0.8847,,0.63032,0.73012,0.26988,207.919,0.9444,0.8847,,0.3973,0.25444,0.9444,0.8847,,0.24989,0.74382,0.3973,0.266,3.7594,0.073847
Electron Image 8-03.tif,Fl,925.4356,38816,171.0315,333.3994,698.4098,327,116.515,334,172,222.3107,848.6661,42407,847.0338,322.7156,156.1448,334.9714,171.0315,333.3994,336,,1.3251,0.91731,0.68072,2.8065,,0.56955,2.0668,0.91528,0.91532,,0.75468,0.48503,0.51497,222.3107,0.91704,0.91532,,0.56955,0.48385,0.91704,0.91532,,0.44046,0.68072,0.56955,0.51299,1.9493,0.17077
Electron Image 8-07.tif,Fl,1408.1677,72974,180.357,582.7203,957.6107,531,125.1647,590,186,304.817,1358.0672,78648,1404.8639,552.715,176.1392,593.6228,180.357,582.7203,594,,1.4705,0.92269,0.69434,4.2424,,0.46245,3.1379,0.99765,0.92786,,0.68004,0.68475,0.31525,304.817,0.96442,0.92786,,0.46245,0.31868,0.96442,0.92786,,0.26367,0.69434,0.46245,0.30951,3.2309,0.084664
