filename,type,p,A,w,b,c,a,m,L_b,W_b,d_H,p_CP,A_CP,e_CE,L_maj,L_min,d_BC,l_F,w_F,d_F,,Circ_DL,Rec_DL,Com_DL,Elo_DL,,Circ_CI,AR_CI,Con_CI,Sol_CI,,Circ_LL,Elo_LL,AR_LL,d_H,Con_LL,Sol_LL,,form factor,axial ratio,convexity,solidity,,circularity,rectangularity,form factor,Feret aspect ratio,Feret aspect ratio,regularity parameter
Electron Image 15-01.tif,Eltub,859.5605,25988,133.0433,291.4827,571.4673,282,90.7089,298,132,181.9037,753.5778,29506,810.7858,295.0818,124.3408,302.3673,133.0433,291.4827,303,,1.5041,1.0124,0.67014,3.1088,,0.44201,2.3732,0.94326,0.88077,,0.66484,0.55705,0.44295,181.9037,0.8767,0.88077,,0.44201,0.42138,0.8767,0.88077,,0.36192,0.67014,0.44201,0.45644,2.1909,0.1072
Electron Image 15-03.tif,Eltub,949.2174,33173,188.9738,266.4797,645.6502,246,124.7865,277,196,205.5168,802.0803,38662,859.3836,261.268,172.7042,288.0337,188.9738,266.4797,287,,1.4702,1.0421,0.65875,1.9714,,0.46266,1.5128,0.90536,0.85803,,0.68019,0.29242,0.70758,205.5168,0.84499,0.85803,,0.46266,0.66102,0.84499,0.85803,,0.50911,0.65875,0.46266,0.70915,1.4101,0.15516
Electron Image 15-04.tif,Eltub,1066.5971,37140,135.4185,382.0518,683.1654,362,97.154,383,138,217.4583,916.0113,41938,943.6883,390.4379,126.1619,385.523,135.4185,382.0518,386,,1.5613,1.0306,0.71786,3.726,,0.41025,3.0947,0.88477,0.88559,,0.64051,0.63969,0.36031,217.4583,0.85882,0.88559,,0.41025,0.32313,0.85882,0.88559,,0.31816,0.71786,0.41025,0.35445,2.8213,0.093701
Electron Image 15-09.tif,Eltub,1182.2956,43168,154.7284,360.2527,736.5223,351,120.518,364,158,234.4423,977.4184,48978,998.0246,383.2998,149.907,372.8284,154.7284,360.2527,373,,1.6052,1.1479,0.77443,2.9124,,0.38808,2.5569,0.84414,0.88138,,0.62296,0.56593,0.43407,234.4423,0.82671,0.88138,,0.38808,0.3911,0.82671,0.88138,,0.39542,0.77443,0.38808,0.4295,2.3283,0.11884
Electron Image 15-25.tif,Eltub,943.6266,33182,126.4574,372.3092,645.7378,365,89.1072,376,127,205.5447,891.4255,36418,954.6882,396.2321,112.3863,378.0212,126.4574,372.3092,379,,1.4613,0.94596,0.70478,4.0962,,0.46829,3.5256,1.0117,0.91114,,0.68431,0.66223,0.33777,205.5447,0.94468,0.91114,,0.46829,0.28364,0.94468,0.91114,,0.29565,0.70478,0.46829,0.33966,2.9441,0.097577
Electron Image 15-6.tif,Eltub,656.6245,13899,115.767,239.193,417.9234,187,58.6708,259,116,133.0292,615.328,17382,660.8405,226.824,92.1389,258.8629,115.767,239.193,260,,1.5712,0.92493,0.50194,3.1873,,0.4051,2.4618,1.0064,0.79962,,0.63647,0.55212,0.44788,133.0292,0.93711,0.79962,,0.4051,0.40621,0.93711,0.79962,,0.26409,0.50194,0.4051,0.48399,2.0662,0.053699
Electron Image 16-3.tif,Eltub,998.9331,43684,185.9456,331.3788,740.9112,314,131.3123,332,187,235.8393,924.9087,47025,969.8848,301.7128,201.0355,335.6943,185.9456,331.3788,336,,1.3482,0.96548,0.70894,2.3912,,0.55012,1.5008,0.97092,0.92895,,0.7417,0.43675,0.56325,235.8393,0.9259,0.92895,,0.55012,0.66631,0.9259,0.92895,,0.49357,0.70894,0.55012,0.56113,1.7821,0.19249
Electron Image 16-6.tif,Eltub,773.595,24492,115.1734,277.6939,554.7752,278,88.2626,277,115,176.5904,701.2691,26256,704.2623,285.022,111.8724,277.7658,115.1734,277.6939,279,,1.3944,0.98455,0.76578,3.1497,,0.51429,2.5477,0.91038,0.93282,,0.71714,0.58484,0.41516,176.5904,0.90651,0.93282,,0.51429,0.3925,0.90651,0.93282,,0.40418,0.76578,0.51429,0.41475,2.4111,0.15918
Electron Image 17-1.tif,Eltub,734.1392,18393,121.0655,212.0398,480.7632,197,88.723,223,122,153.0317,617.3107,21318,629.0283,217.3475,112.8439,235.0532,121.0655,212.0398,236,,1.527,1.102,0.7165,2.2204,,0.42885,1.9261,0.85682,0.86279,,0.65487,0.45291,0.54709,153.0317,0.84086,0.86279,,0.42885,0.51919,0.84086,0.86279,,0.42387,0.7165,0.42885,0.57096,1.7514,0.13024
Electron Image 17-14.tif,Eltub,911.4773,35217,149.9472,328.1216,665.2442,323,107.307,328,150,211.7538,845.5118,38147,889.9175,325.0652,143.0158,329.3814,149.9472,328.1216,330,,1.3701,0.95329,0.71578,3.0101,,0.53269,2.2729,0.97635,0.92319,,0.72985,0.54268,0.45732,211.7538,0.92763,0.92319,,0.53269,0.43996,0.92763,0.92319,,0.4133,0.71578,0.53269,0.45699,2.1882,0.15758
